,lat,lng,offense
0,45.4686,-122.594,Motor Vehicle Theft
1,45.6143,-122.683,Motor Vehicle Theft
2,45.5348,-122.593,Motor Vehicle Theft
3,45.5297,-122.683,Motor Vehicle Theft
4,45.4769,-122.524,Motor Vehicle Theft
5,45.5543,-122.599,Motor Vehicle Theft
6,45.5154,-122.654,Vandalism
7,45.588,-122.758,Vandalism
8,45.4975,-122.64,Assault Offenses
10,45.4841,-122.572,Assault Offenses
12,45.4991,-122.538,Assault Offenses
16,45.5908,-122.756,Assault Offenses
17,45.5266,-122.613,Assault Offenses
18,45.4978,-122.509,Assault Offenses
19,45.5233,-122.697,Assault Offenses
25,45.5234,-122.697,Assault Offenses
26,45.5274,-122.677,Assault Offenses
30,45.5656,-122.581,Burglary
31,45.532,-122.555,Burglary
32,45.5232,-122.6,Burglary
33,45.5296,-122.691,Burglary
34,45.5041,-122.536,Burglary
36,45.4986,-122.618,Burglary
37,45.5406,-122.605,Burglary
38,45.5498,-122.498,Burglary
45,45.4937,-122.634,Larceny Offenses
46,45.5,-122.685,Larceny Offenses
47,45.509,-122.66,Larceny Offenses
48,45.563,-122.667,Larceny Offenses
49,45.5244,-122.66,Larceny Offenses
50,45.5315,-122.655,Larceny Offenses
51,45.5242,-122.67,Larceny Offenses
52,45.527,-122.677,Larceny Offenses
53,45.4661,-122.659,Larceny Offenses
54,45.5193,-122.645,Larceny Offenses
55,45.5212,-122.662,Larceny Offenses
56,45.5168,-122.677,Larceny Offenses
57,45.613,-122.685,Larceny Offenses
58,45.531,-122.558,Larceny Offenses
59,45.5183,-122.559,Larceny Offenses
60,45.5335,-122.56,Larceny Offenses
61,45.5234,-122.697,Larceny Offenses
62,45.5758,-122.673,Larceny Offenses
63,45.497,-122.634,Larceny Offenses
64,45.6164,-122.692,Larceny Offenses
65,45.5,-122.685,Larceny Offenses
66,45.5174,-122.554,Larceny Offenses
67,45.5191,-122.707,Larceny Offenses
68,45.4924,-122.639,Larceny Offenses
69,45.487,-122.734,Larceny Offenses
70,45.5064,-122.557,Larceny Offenses
71,45.5085,-122.638,Larceny Offenses
72,45.509,-122.666,Larceny Offenses
73,45.5213,-122.574,Larceny Offenses
74,45.5582,-122.548,Larceny Offenses
75,45.5182,-122.63,Larceny Offenses
76,45.4791,-122.607,Larceny Offenses
77,45.5682,-122.696,Motor Vehicle Theft
78,45.4972,-122.609,Motor Vehicle Theft
79,45.479,-122.562,Motor Vehicle Theft
80,45.5442,-122.667,Robbery
81,45.5335,-122.56,Robbery
82,45.5,-122.685,Stolen Property Offenses
83,45.5056,-122.488,Vandalism
84,45.5593,-122.634,Vandalism
85,45.546,-122.665,Vandalism
86,45.5266,-122.561,Vandalism
87,45.5119,-122.655,Vandalism
88,45.5552,-122.655,Vandalism
89,45.5203,-122.626,Vandalism
90,45.4931,-122.579,Vandalism
91,45.4887,-122.524,Vandalism
92,45.5193,-122.645,Drug/Narcotic Offenses
