,country,price
0,Albania,20.0
1,Argentina,20.7948809737
2,Australia,31.2584797711
3,Austria,31.192106323
4,Bosnia and Herzegovina,12.75
5,Brazil,19.92
6,Bulgaria,11.5454545455
7,Canada,34.6288659794
8,Chile,19.3447797433
9,China,20.3333333333
10,Croatia,23.1084337349
11,Cyprus,15.4838709677
12,Czech Republic,18.0
13,England,47.5
14,France,45.6198850186
15,Georgia,18.5813953488
16,Germany,39.0110779719
17,Greece,21.747706422
18,Hungary,44.2043478261
19,India,13.875
20,Israel,31.3049180328
21,Italy,37.5479131175
22,Japan,24.0
23,Lebanon,25.4324324324
24,Lithuania,10.0
25,Luxembourg,40.6666666667
26,Macedonia,15.3125
27,Mexico,29.0952380952
28,Moldova,15.3661971831
29,Montenegro,10.0
30,Morocco,18.8333333333
31,New Zealand,24.1732899023
32,Portugal,26.3326149425
33,Romania,16.3956834532
34,Serbia,24.2857142857
35,Slovakia,15.3333333333
36,Slovenia,28.0617283951
37,South Africa,21.1305319624
38,South Korea,13.5
39,Spain,27.0485294118
40,Switzerland,26.5
41,Turkey,25.8
42,US,33.6538083973
43,US-France,50.0
44,Ukraine,13.0
45,Uruguay,25.8470588235
